slug,community_name,block,username,email,password,contact_name,notes
01-01,郷地第一自治会,第一ブロック,editor-01-01,,,,
01-02,郷地第二自治会,第一ブロック,editor-01-02,,,,
01-03,郷地第三自治会,第一ブロック,editor-01-03,,,,
01-04,五月自治会,第一ブロック,editor-01-04,,,,
01-05,東町第五自治会,第一ブロック,editor-01-05,,,,
01-06,東町東町会,第一ブロック,editor-01-06,,,,
01-07,東町親睦会,第一ブロック,editor-01-07,,,,
01-08,東町中央自治会,第一ブロック,editor-01-08,,,,
01-09,昭島団地自治会,第一ブロック,editor-01-09,,,,
01-11,郷地玉川自治会,第一ブロック,editor-01-11,,,,
02-12,福島第一自治会,第二ブロック,editor-02-12,,,,
02-13,福島第二自治会,第二ブロック,editor-02-13,,,,
02-14,福島第三自治会,第二ブロック,editor-02-14,,,,
02-15,福島第四自治会,第二ブロック,editor-02-15,,,,
02-16,福島第五自治会,第二ブロック,editor-02-16,,,,
03-18,八清親和会,第三ブロック,editor-03-18,,,,
03-19,築地地区自治会,第三ブロック,editor-03-19,,,,
03-20,都営玉川町自治会,第三ブロック,editor-03-20,,,,
03-22,サーパス中神自治会,第三ブロック,editor-03-22,,,,
04-23,東中親睦会,第四ブロック,editor-04-23,,,,
04-24,富士見ヶ丘団地自治会,第四ブロック,editor-04-24,,,,
04-26,都営中神第二団地自治会,第四ブロック,editor-04-26,,,,
04-27,富士見町自治会,第四ブロック,editor-04-27,,,,
04-28,新栄会,第四ブロック,editor-04-28,,,,
04-29,昭島東部自治会,第四ブロック,editor-04-29,,,,
04-30,昭和伸栄自治会,第四ブロック,editor-04-30,,,,
04-31,昭島第二住宅自治会,第四ブロック,editor-04-31,,,,
04-32,昭島住宅自治会,第四ブロック,editor-04-32,,,,
04-104,オハナ昭島中神自治会,第四ブロック,editor-04-104,,,,
05-33,中神始自治会,第五ブロック,editor-05-33,,,,
05-34,中神親和自治会,第五ブロック,editor-05-34,,,,
05-35,中神東上自治会,第五ブロック,editor-05-35,,,,
05-36,交友自治会,第五ブロック,editor-05-36,,,,
06-39,六親自治会,第六ブロック,editor-06-39,,,,
06-40,朝日町住宅自治会,第六ブロック,editor-06-40,,,,
06-42,中神駅前親交自治会,第六ブロック,editor-06-42,,,,
07-43,宮沢町自治会,第七ブロック,editor-07-43,,,,
07-44,大神町自治会,第七ブロック,editor-07-44,,,,
07-45,東ノ岡自治会,第七ブロック,editor-07-45,,,,
08-46,昭島中央自治会,第八ブロック,editor-08-46,,,,
08-47,上の原自治会,第八ブロック,editor-08-47,,,,
08-48,光華小前自治会,第八ブロック,editor-08-48,,,,
08-50,緑親交自治会,第八ブロック,editor-08-50,,,,
09-51,上川原自治会,第九ブロック,editor-09-51,,,,
09-52,昭島駅前上友自治会,第九ブロック,editor-09-52,,,,
09-53,仲よし自治会,第九ブロック,editor-09-53,,,,
09-54,昭島町一丁目自治会,第九ブロック,editor-09-54,,,,
09-79,上川原二丁目アパート自治会,第九ブロック,editor-09-79,,,,
10-56,坂下自治会,第十ブロック,editor-10-56,,,,
10-57,拝島町東自治会,第十ブロック,editor-10-57,,,,
10-58,坂上自治会,第十ブロック,editor-10-58,,,,
10-59,森ノ上町自治会,第十ブロック,editor-10-59,,,,
10-60,中宿自治会,第十ブロック,editor-10-60,,,,
10-61,拝島上町自治会,第十ブロック,editor-10-61,,,,
10-62,栗の沢自治会,第十ブロック,editor-10-62,,,,
11-63,富士見坂自治会,第十一ブロック,editor-11-63,,,,
11-64,松原自治会,第十一ブロック,editor-11-64,,,,
11-65,拝島駅前自治会,第十一ブロック,editor-11-65,,,,
11-66,緑ヶ丘自治会,第十一ブロック,editor-11-66,,,,
11-67,小荷田自治会,第十一ブロック,editor-11-67,,,,
12-68,二葉自治会,第十二ブロック,editor-12-68,,,,
12-69,美野里会,第十二ブロック,editor-12-69,,,,
12-70,互助会,第十二ブロック,editor-12-70,,,,
12-71,多摩野会,第十二ブロック,editor-12-71,,,,
12-72,八八会,第十二ブロック,editor-12-72,,,,
12-73,上向自治会,第十二ブロック,editor-12-73,,,,
12-74,富士美自治会,第十二ブロック,editor-12-74,,,,
12-75,美堀町つくし自治会,第十二ブロック,editor-12-75,,,,
13-78,みまつ自治会,第十三ブロック,editor-13-78,,,,
13-81,シティテラス昭島自治会,第十三ブロック,editor-13-81,,,,
14-82,拝島団地中央連合自治会,第十四ブロック,editor-14-82,,,,
15-83,中神団地自治会,第十五ブロック,editor-15-83,,,,
15-84,昭文自治会,第十五ブロック,editor-15-84,,,,
15-85,むさしの自治会,第十五ブロック,editor-15-85,,,,
15-86,日の出自治会,第十五ブロック,editor-15-86,,,,
15-87,文化自治会,第十五ブロック,editor-15-87,,,,
15-88,メゾンエクレーレニュー昭島自治会,第十五ブロック,editor-15-88,,,,
15-89,ブルーミングガーデン昭島自治会,第十五ブロック,editor-15-89,,,,
15-90,バーデン昭島自治会,第十五ブロック,editor-15-90,,,,
16-91,田中町自治会,第十六ブロック,editor-16-91,,,,
16-92,昭島田中町住宅自治会,第十六ブロック,editor-16-92,,,,
17-94,つつじが丘東自治会,第十七ブロック,editor-17-94,,,,
17-95,つつじが丘西自治会,第十七ブロック,editor-17-95,,,,
18-96,西武拝島ハイツ自治会,第十八ブロック,editor-18-96,,,,
18-97,西武拝島ハイツ樹だち館自治会,第十八ブロック,editor-18-97,,,,
19-98,つつじが丘北自治会,第十九ブロック,editor-19-98,,,,
19-100,AYUMOCITY昭島自治会,第十九ブロック,editor-19-100,,,,
19-102,プラウドシーズン西武立川自治会,第十九ブロック,editor-19-102,,,,
20-99,プレイシア自治会,第二十ブロック,editor-20-99,,,,
20-101,ポレスター昭島自治会,第二十ブロック,editor-20-101,,,,
21-103,昭島法務自治会,第二十一ブロック,editor-21-103,,,,
